case_id,task_type,physics_regime,target_family,target_kind,nx,N,K0,alpha,qx,qy,t,R_hops,compiled_qubits,target_size_descriptor,compiler_backend,topology,basis_2q,quality_metric,quality_value,twoq_count,twoq_depth,total_depth,compile_walltime_s,seed,budget_tag,aggregation_group
v0_state_full_generic,state_prep,v0,full,statevector,3,8,1.5,,,,,,7,128 amplitudes on 7 qubits,generic_transpile,line_nn,cz,state_infidelity,0.0,268,260,756,0.8773097939993022,0,generic_o3,v0_state_prep_full
v0_state_shadowK_generic,state_prep,v0,shadow_K,statevector,3,8,1.5,,,,,,5,18 amplitudes packed into 32 amplitudes,generic_transpile,line_nn,cz,state_infidelity,4.440892098500626e-16,55,55,160,0.04956109999329783,0,generic_o3,v0_state_prep_shadow
v0_evo_full_generic,time_evolution,v0,full,unitary,3,8,1.5,,,,0.5,,6,64x64 active-mode unitary,generic_transpile,line_nn,cz,unitary_loss,2.220446049250313e-15,174,164,415,0.040636535006342456,0,generic_o3,v0_time_evolution_full
v0_evo_shadowK_generic,time_evolution,v0,shadow_K,unitary,3,8,1.5,,,,0.5,,4,9x9 reduced unitary padded to 16x16,generic_transpile,line_nn,cz,unitary_loss,0.0,29,28,86,0.020646536009735428,0,generic_o3,v0_time_evolution_shadow
v1_evo_full_generic,time_evolution,v1,full,unitary,3,8,1.5,0.5,1,0,0.5,1,6,64x64 active-mode unitary,generic_transpile,line_nn,cz,unitary_loss,1.3322676295501878e-14,4650,4609,13413,2.01660296699265,0,generic_o3,v1_time_evolution_full
v1_evo_shadowK_generic,time_evolution,v1,shadow_K,unitary,3,8,1.5,0.5,1,0,0.5,1,4,9x9 reduced unitary padded to 16x16,generic_transpile,line_nn,cz,unitary_loss,0.0,232,232,717,0.13382156900479458,0,generic_o3,v1_time_evolution_shadow_total
v1_evo_shadowR_generic,time_evolution,v1,shadow_R,unitary,3,8,1.5,0.5,1,0,0.5,1,2,3x3 reduced unitary padded to 4x4,generic_transpile,line_nn,cz,unitary_loss,0.0,3,3,19,0.014110190997598693,0,generic_o3,v1_time_evolution_shadow_total
