initial_condition,K0,eps_cutoff,eps_shadow,eps_total,shadow_fraction,shadow_to_cutoff,DeltaZ_F,leakage_l_rms,observation
Gaussian vortex,6.0,0.020021098547695057,0.0008863254452166605,0.020003931719483198,0.044307562015591544,0.044269571077991586,0.0077433292330719656,0.23674289353667619,Cutoff-dominated; shadow contribution remains small.
Gaussian vortex,8.0,0.005896009870895556,0.00019951785809733442,0.005897455453099694,0.03383117679887995,0.03383947151822344,0.007726491641109338,0.2290272226114693,Cutoff-dominated; shadow contribution remains small.
Multi-scale packet,6.0,0.026352956713803607,0.0008322385200299077,0.026457972071536592,0.03145511370938468,0.03158046093529928,0.01568656432512686,0.23674289353667619,Cutoff-dominated; shadow contribution remains small.
Multi-scale packet,8.0,0.023255144169140193,0.0004684062940330157,0.023239514616460323,0.020155597126854278,0.020142050749123952,0.015684464420797756,0.2290272226114693,Cutoff-dominated; shadow contribution remains small.
Random band-limited state,6.0,0.5946203372404528,0.02000279288243453,0.593414669225083,0.03370795148787844,0.03363960434865818,0.00860671537797599,0.23674289353667619,Cutoff-dominated; shadow contribution remains small.
Random band-limited state,8.0,0.36752430406929876,0.018086307310442615,0.3665906148877768,0.04933652574815457,0.049211187151945036,0.009684880777311751,0.2290272226114693,Cutoff-dominated; shadow contribution remains small.
