reviewer,initial_condition,construction_rule,ic_seed,state_dtype,density_dtype,nx,N,simulation_seed,alpha,qx,qy,t,K0,R_hops,M_K,R_size,reduced_size,eps_cutoff,eps_shadow,eps_total,shadow_fraction,shadow_to_cutoff,DeltaZ_F,leakage_l_rms,bound_apriori,observation,assumptions,V_label
gBE6,Gaussian vortex,"Canonical vortex_case(nx=5, seed=0) reused from the paper/codebase.",0,complex128,float64,5,32,0,0.5,1,0,0.5,6.0,1,113,3,339,0.020021098547695057,0.0008863254452166605,0.020003931719483198,0.044307562015591544,0.044269571077991586,0.0077433292330719656,0.23674289353667619,0.11837144676833809,Cutoff-dominated; shadow contribution remains small.,"Reuses the standard single-cosine benchmark from experiments/run_sweep.py with alpha=0.5, q=(1,0), t=0.5, nx=5, canonical seed 0, and classical Galerkin evolution.","V=0.5cos(1,0)"
gBE6,Gaussian vortex,"Canonical vortex_case(nx=5, seed=0) reused from the paper/codebase.",0,complex128,float64,5,32,0,0.5,1,0,0.5,8.0,1,197,3,591,0.005896009870895556,0.00019951785809733442,0.005897455453099694,0.03383117679887995,0.03383947151822344,0.007726491641109338,0.2290272226114693,0.11451361130573465,Cutoff-dominated; shadow contribution remains small.,"Reuses the standard single-cosine benchmark from experiments/run_sweep.py with alpha=0.5, q=(1,0), t=0.5, nx=5, canonical seed 0, and classical Galerkin evolution.","V=0.5cos(1,0)"
gBE6,Multi-scale packet,"Two spatial Gaussian bumps with widths 0.55 and 1.05, fixed centers, and deterministic complex phase factors; globally normalized across both components.",deterministic-no-seed,complex128,float64,5,32,0,0.5,1,0,0.5,6.0,1,113,3,339,0.026352956713803607,0.0008322385200299077,0.026457972071536592,0.03145511370938468,0.03158046093529928,0.01568656432512686,0.23674289353667619,0.11837144676833809,Cutoff-dominated; shadow contribution remains small.,"Reuses the standard single-cosine benchmark from experiments/run_sweep.py with alpha=0.5, q=(1,0), t=0.5, nx=5, canonical seed 0, and classical Galerkin evolution.","V=0.5cos(1,0)"
gBE6,Multi-scale packet,"Two spatial Gaussian bumps with widths 0.55 and 1.05, fixed centers, and deterministic complex phase factors; globally normalized across both components.",deterministic-no-seed,complex128,float64,5,32,0,0.5,1,0,0.5,8.0,1,197,3,591,0.023255144169140193,0.0004684062940330157,0.023239514616460323,0.020155597126854278,0.020142050749123952,0.015684464420797756,0.2290272226114693,0.11451361130573465,Cutoff-dominated; shadow contribution remains small.,"Reuses the standard single-cosine benchmark from experiments/run_sweep.py with alpha=0.5, q=(1,0), t=0.5, nx=5, canonical seed 0, and classical Galerkin evolution.","V=0.5cos(1,0)"
gBE6,Random band-limited state,"Random complex Fourier coefficients inside the band ||k||<= 10 with Gaussian radial weighting, inverse FFT to position space, fixed RNG seed, then global normalization.",20260417,complex128,float64,5,32,0,0.5,1,0,0.5,6.0,1,113,3,339,0.5946203372404528,0.02000279288243453,0.593414669225083,0.03370795148787844,0.03363960434865818,0.00860671537797599,0.23674289353667619,0.11837144676833809,Cutoff-dominated; shadow contribution remains small.,"Reuses the standard single-cosine benchmark from experiments/run_sweep.py with alpha=0.5, q=(1,0), t=0.5, nx=5, canonical seed 0, and classical Galerkin evolution.","V=0.5cos(1,0)"
gBE6,Random band-limited state,"Random complex Fourier coefficients inside the band ||k||<= 10 with Gaussian radial weighting, inverse FFT to position space, fixed RNG seed, then global normalization.",20260417,complex128,float64,5,32,0,0.5,1,0,0.5,8.0,1,197,3,591,0.36752430406929876,0.018086307310442615,0.3665906148877768,0.04933652574815457,0.049211187151945036,0.009684880777311751,0.2290272226114693,0.11451361130573465,Cutoff-dominated; shadow contribution remains small.,"Reuses the standard single-cosine benchmark from experiments/run_sweep.py with alpha=0.5, q=(1,0), t=0.5, nx=5, canonical seed 0, and classical Galerkin evolution.","V=0.5cos(1,0)"
